Название,Цена,Операционная система,Диагональ экрана,Разрешение экрана,Производитель процессора,Модель процессора,Тактовая частота,Объем оперативной памяти,Тип оперативной памяти,Тип накопителя,Объем накопителя,Производитель видеокарты,Модель видеокарты,Объем видеопамяти,Цвет
Ноутбук HP 15s-eq1419ur (60Q32EA),36999,Windows 11 Домашняя x64,"15.6""",1920x1080 Пикс,AMD,Ryzen 3 3250U,2.6 ГГц,8 ГБ,DDR4,SSD,256 ГБ,AMD,Radeon,,Серебристый
Ноутбук Digma Eve 10 A200 (ES1052EW),9999,Windows 10 Домашняя x64,"10.1""",1366x768 Пикс,Intel,Atom x5-Z8350,1.44 ГГц,2 ГБ,DDR3,eMMC,64 ГБ,Intel,HD Graphics,,Черный
Ноутбук Lenovo IdeaPad 3 14ADA05 (81W000KNRU),44999,Windows 10 Домашняя x64,"14""",1920x1080 Пикс,AMD,Ryzen 5 3500U,2.1 ГГц,4 ГБ,DDR4,SSD,512 ГБ,AMD,Radeon Vega 8,,Синий
Ноутбук HP 15s-eq2107ur (5R9R6EA),54999,Windows 11 Домашняя x64,"15.6""",1920x1080 Пикс,AMD,Ryzen 3 5300U,2.6 ГГц,8 ГБ,DDR4,SSD,256 ГБ,AMD,Radeon,,Серый
Ноутбук Irbis NB141,19999,Windows 10,"14.1""",1920x1080 Пикс,Intel,Celeron N3350,1.1 ГГц,4 ГБ,LPDDR3,eMMC,64 ГБ,Intel,Intel HD Graphics 500,,Голубой
Ноутбук HUAWEI MateBook D 15 8+512GB Space Grey (BoD-WDH9/53012TLT),69999,,"15.6""",1920x1080 Пикс,Intel,Core i5-1135G7,2.4 ГГц,8 ГБ,DDR4,SSD,512 ГБ,Intel,Iris Xe Graphics,,Серый
Ноутбук Honor MagicBook X 15 i5/8/512 Space Gray (BBR-WAH9),59999,Windows 10 Домашняя x64,"15.6""",1920x1080 Пикс,Intel,Core i5-10210U,1.6 ГГц,8 ГБ,DDR4,SSD,512 ГБ,Intel,UHD Graphics,,Серый
Ноутбук Lenovo IdeaPad 3 14ADA05 (81W000FXRU),44999,Windows 10 Домашняя в S-режиме,"14""",1920x1080 Пикс,AMD,Ryzen 5 3500U,2.1 ГГц,8 ГБ,DDR4,SSD,256 ГБ,AMD,Radeon Vega 8,,Синий
Ноутбук Lenovo IdeaPad 3 14ADA05 (81W000KQRU),33999,Windows 10,"14""",1920x1080 Пикс,AMD,Athlon Silver 3050U,2.3 ГГц,4 ГБ,DDR4,,,AMD,Radeon Graphics,,Синий
Ноутбук HP 15s-eq2086ur (5D5E2EA),42999,Windows 11 Домашняя x64,"15.6""",1920x1080 Пикс,AMD,Ryzen 3 5300U,2.6 ГГц,8 ГБ,DDR4,SSD,256 ГБ,AMD,Radeon,,Серебристый
Ноутбук HP 15s-eq1322ur (3B2X0EA),29999,FreeDOS,"15.6""",1920x1080 Пикс,AMD,3020e,1.2 ГГц,8 ГБ,DDR4,SSD,256 ГБ,AMD,Radeon Graphics,,"Серый, Черный"
Ноутбук HP 17-cp0125ur (5D5G5EA),43999,Windows 11 Домашняя x64,"17.3""",1600x900 Пикс,AMD,Ryzen 3 3250U,2.6 ГГц,8 ГБ,DDR4,SSD,256 ГБ,AMD,Radeon,,Черный
Ноутбук HP 15s-fq0094ur (669X9EA),39999,Windows 11 Домашняя x64,"15.6""",1920x1080 Пикс,Intel,Pentium Silver N5030,1.1 ГГц,4 ГБ,DDR4,SSD,256 ГБ,Intel,UHD Graphics 605,,Серый
